Vbus,Rg,Ls4,Ls5,Ls6,Ls7,Ls8,Ls9,Ls10,Ls11,Tp1,Tp2,Toff,Tstart,L1,L2,L3,R1,Part_Number,VDS_max,ID_max_25C,RDS_on_typ,RDS_on_max,VGS_th_min,VGS_th_typ,VGS_th_max,Qg_total,Qrr_typ,Irrm_typ,Eon_typ,Eoff_typ,Ciss,Coss,Crss,Rth_JC_typ,Rth_JC_max,Tj_max,voltage_rise_time_pulse1,voltage_rise_time_pulse2,voltage_fall_time_pulse1,voltage_fall_time_pulse2,current_rise_time_pulse1,current_rise_time_pulse2,current_fall_time_pulse1,current_fall_time_pulse2,overshoot_pulse_1,overshoot_pulse_2,undershoot_pulse_1,undershoot_pulse_2,ringing_frequency_MHz,Severity_Score,Scenario,voltage_rise_time_pulse1__z,voltage_rise_time_pulse2__z,voltage_fall_time_pulse1__z,voltage_fall_time_pulse2__z,current_rise_time_pulse1__z,current_rise_time_pulse2__z,current_fall_time_pulse1__z,current_fall_time_pulse2__z,overshoot_pulse_1__z,overshoot_pulse_2__z,undershoot_pulse_1__z,undershoot_pulse_2__z,ringing_frequency_MHz__z
800,7.5,2.5e-09,2.5e-09,1e-08,1e-08,1e-08,2.5e-09,7.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M1000170D,1700,5,0.8,1.4,2.0,2.8,4.0,22,31,3.0,0.089,0.014,215,19,2.2,1.7,1.8,150,6.08194067443e-09,6.08194067443e-09,2.10080226189e-05,2.10080226189e-05,3.63146283445e-05,4.58816573073e-08,1.07465112384e-06,1.1809281813e-08,14.4172363281,-760.677570343,-103.232048035,-105.690010071,169.203921987,-8.855956002013214,Best,-0.7590659639535245,-0.7590659639535245,1.3012824878118867,1.3012824878118867,1.3410632145239607,0.14829705791252357,-1.3215120762316646,-0.1920157224596939,-2.091046482328739,1.3294192223714638,-3.850821030893842,-3.7656303299622262,-0.5823881402619789
800,10.0,2.5e-09,2.5e-09,1e-08,1e-08,1e-08,5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M1000170D,1700,5,0.8,1.4,2.0,2.8,4.0,22,31,3.0,0.089,0.014,215,19,2.2,1.7,1.8,150,6.17250462797e-09,6.17250462797e-09,2.10083269627e-05,2.10083269627e-05,3.63172879001e-05,4.74721155114e-08,1.08157758777e-06,1.2146333632e-08,12.9678955078,-764.365268707,-97.5721817017,-99.3665084839,169.20067789,-8.796897914560313,Best,-0.5776150595190452,-0.5776150595190452,1.3014340435668763,1.3014340435668763,1.3413441288996955,0.28413064677130967,-1.3185538539128963,-0.05020633953488949,-2.396087760730706,1.3071317857917777,-3.3577795839311437,-3.228475408266199,-0.5826656028948377
800,10.0,2.5e-09,2.5e-09,1e-08,1e-08,1e-08,5e-09,5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M1000170D,1700,5,0.8,1.4,2.0,2.8,4.0,22,31,3.0,0.089,0.014,215,19,2.2,1.7,1.8,150,6.19775865031e-09,6.19775865031e-09,2.10088986617e-05,2.10088986617e-05,3.63171092278e-05,4.74004888534e-08,1.08360743112e-06,1.21221831371e-08,13.1718139648,-763.225299835,-99.2414550781,-101.58694458,164.043593365,-8.72637787176377,Best,-0.5270169460855625,-0.5270169460855625,1.3017187356603965,1.3017187356603965,1.3413252567175853,0.27801334925979976,-1.317686928456811,-0.060367289828107434,-2.3531692518873815,1.314021444714412,-3.503193081779016,-3.4170921360242468,-1.0237431200545974
800,10.0,2.5e-09,2.5e-09,1e-08,1e-08,1e-08,1e-08,5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M1000170D,1700,5,0.8,1.4,2.0,2.8,4.0,22,31,3.0,0.089,0.014,215,19,2.2,1.7,1.8,150,6.20516838023e-09,6.20516838023e-09,2.10089263108e-05,2.10089263108e-05,3.63170337087e-05,4.73040593361e-08,1.08375800183e-06,1.21180792926e-08,14.0930786133,-763.850288391,-99.6259918213,-101.965270996,163.8682936,-8.606712751841377,Best,-0.5121710593608252,-0.5121710593608252,1.3017325042347039,1.3017325042347039,1.3413172800462825,0.26977775565978357,-1.3176226212375173,-0.0620939194540535,-2.1592716246427357,1.3102441854513276,-3.5366907902252698,-3.4492293773236864,-1.03873623966124
800,10.0,2.5e-09,2.5e-09,1e-08,1e-08,1e-08,1e-08,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M1000170D,1700,5,0.8,1.4,2.0,2.8,4.0,22,31,3.0,0.089,0.014,215,19,2.2,1.7,1.8,150,6.17324540159e-09,6.17324540159e-09,2.10083162142e-05,2.10083162142e-05,3.63179672286e-05,4.7066679404e-08,1.08386193743e-06,1.21729833663e-08,14.4609985352,-763.753032684,-97.9174804688,-100.122123718,169.274383245,-8.560106844155078,Best,-0.5761308703016347,-0.5761308703016347,1.301428691077249,1.301428691077249,1.341415882669948,0.2495042470463058,-1.3175782313995363,-0.03899387259907678,-2.081835895410534,1.310831972246185,-3.3878591995509972,-3.2926617512780063,-0.576361697107144
