Target,R2,RMSE
voltage_fall_time_pulse2,0.9980390344966713,2.3854088514180424e-10
voltage_fall_time_pulse1,0.9980337869938232,2.3914383814007044e-10
current_fall_time_pulse2,0.997525976550754,6.136638157517745e-10
current_fall_time_pulse1,0.9975251435684629,6.148463992568716e-10
ringing_frequency_MHz,0.9893965099575284,3.174561115715371
undershoot_pulse_2,0.9843448157470254,1.7161702530777954
undershoot_pulse_1,0.9832498908589217,1.7719137766460442
voltage_rise_time_pulse1,0.9811480361033423,4.425448254220622e-10
overshoot_pulse_1,0.9719906527612501,2.136982560063544
overshoot_pulse_2,0.9429995770239472,6.553546120207748
current_rise_time_pulse1,0.942938999199744,1.1489186879669867e-08
voltage_rise_time_pulse2,0.8798415700679973,1.3377666476112755e-09
current_rise_time_pulse2,0.8634667910682838,8.714201021576985e-09
