Target,R2,RMSE
voltage_fall_time_pulse1,0.998555309291242,2.610561919011147e-10
voltage_fall_time_pulse2,0.9985497322012518,2.6124669416766865e-10
current_fall_time_pulse1,0.9956629926470449,7.76126820429142e-10
current_fall_time_pulse2,0.9954233749583712,7.947961362841012e-10
voltage_rise_time_pulse1,0.9910151138192634,3.8382947276544405e-10
ringing_frequency_MHz,0.9903588121250392,0.0383561545131127
undershoot_pulse_2,0.9882013766498277,1.4897944740565425
undershoot_pulse_1,0.9871897053034417,1.5516586656190383
overshoot_pulse_1,0.9752300500093264,1.9166238340625874
overshoot_pulse_2,0.9384131717173037,6.2643361679847445
current_rise_time_pulse1,0.9343620440870958,1.256655207960236e-08
voltage_rise_time_pulse2,0.9254319460981622,1.0967781006058302e-09
current_rise_time_pulse2,0.9218183815359012,7.011466596650877e-09
