Target,R2,RMSE
voltage_fall_time_pulse1,0.9985569178356252,2.5983083537483836e-10
voltage_fall_time_pulse2,0.9985518488116247,2.5997298347762257e-10
current_fall_time_pulse1,0.9955860207638639,7.776705944242335e-10
current_fall_time_pulse2,0.995430040794009,7.885133610476582e-10
voltage_rise_time_pulse1,0.9905316274815306,3.9282984549624153e-10
ringing_frequency_MHz,0.9903095904018779,0.03828186110798382
undershoot_pulse_2,0.9877402394093338,1.522818094679136
undershoot_pulse_1,0.9864335736603401,1.6022062671091128
overshoot_pulse_1,0.973433319786879,1.9357656869226187
overshoot_pulse_2,0.9355014244411318,6.340316095533943
current_rise_time_pulse1,0.9349938497478649,1.2380868225332133e-08
current_rise_time_pulse2,0.9184829947177933,7.092777340890591e-09
voltage_rise_time_pulse2,0.9112893339073012,1.17837360848681e-09
