Target,R2,RMSE
voltage_fall_time_pulse1,0.9985550281646466,2.612718464757597e-10
voltage_fall_time_pulse2,0.9985493622915698,2.6147083477162156e-10
current_fall_time_pulse1,0.995676344011942,7.758540559868963e-10
current_fall_time_pulse2,0.9954222034427117,7.958997731029322e-10
voltage_rise_time_pulse1,0.9910998301765368,3.822190839019802e-10
ringing_frequency_MHz,0.9903674063200848,0.03836925089492648
undershoot_pulse_2,0.9882832549603698,1.4838901652284893
undershoot_pulse_1,0.9873241882679693,1.5425660717306882
overshoot_pulse_1,0.9755283387957107,1.9132257943615743
overshoot_pulse_2,0.9389136675247475,6.25083133921482
current_rise_time_pulse1,0.9342527275482678,1.259903751420187e-08
voltage_rise_time_pulse2,0.927840802089554,1.0817393564346914e-09
current_rise_time_pulse2,0.9223909396731416,6.997018768380874e-09
