Target,R2,RMSE
voltage_fall_time_pulse2,0.9993314800586562,1.7750106461628254e-10
voltage_fall_time_pulse1,0.9992658267274093,1.8623539112343753e-10
current_fall_time_pulse2,0.9980286843700642,5.222858242267822e-10
current_fall_time_pulse1,0.9976211737700434,5.754874368310536e-10
ringing_frequency_MHz,0.99739462231562,1.6855605629213968
voltage_rise_time_pulse1,0.9935426080546574,3.2556806601392347e-10
undershoot_pulse_2,0.9837640629881221,1.746774911160979
undershoot_pulse_1,0.981717230588794,1.8525795929115119
overshoot_pulse_1,0.9686036348748869,2.1670762237414145
current_rise_time_pulse1,0.9389605897579888,1.2140314960668997e-08
overshoot_pulse_2,0.9387022826657965,6.2616372750780105
current_rise_time_pulse2,0.9215875512761486,7.033141632464641e-09
voltage_rise_time_pulse2,0.9181223049051951,1.1522841612860603e-09
