Vbus,Rg,Ls4,Ls5,Ls6,Ls7,Ls8,Ls9,Ls10,Ls11,Tp1,Tp2,Toff,Tstart,L1,L2,L3,R1,Part_Number,VDS_max,ID_max_25C,RDS_on_typ,RDS_on_max,VGS_th_min,VGS_th_typ,VGS_th_max,Qg_total,Qrr_typ,Irrm_typ,Eon_typ,Eoff_typ,Ciss,Coss,Crss,Rth_JC_typ,Rth_JC_max,Tj_max,voltage_rise_time_pulse1,voltage_rise_time_pulse2,voltage_fall_time_pulse1,voltage_fall_time_pulse2,current_rise_time_pulse1,current_rise_time_pulse2,current_fall_time_pulse1,current_fall_time_pulse2,overshoot_pulse_1,overshoot_pulse_2,undershoot_pulse_1,undershoot_pulse_2,ringing_frequency_MHz,Severity_Score,Scenario,voltage_rise_time_pulse1__z,voltage_rise_time_pulse2__z,voltage_fall_time_pulse1__z,voltage_fall_time_pulse2__z,current_rise_time_pulse1__z,current_rise_time_pulse2__z,current_fall_time_pulse1__z,current_fall_time_pulse2__z,overshoot_pulse_1__z,overshoot_pulse_2__z,undershoot_pulse_1__z,undershoot_pulse_2__z,ringing_frequency_MHz__z
800,5.0,1e-08,5e-09,2.5e-09,2.5e-09,2.5e-09,7.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0280120D,1200,11,0.28,0.37,2.0,3.1,4.0,19,45,4.0,0.095,0.0098,267,31,4.0,1.53,1.8,150,5.32499000218e-09,3.70896600559e-09,5.0051225862e-09,4.99604995491e-09,6.05182585479e-05,3.10144951448e-08,2.35406493045e-08,2.35630914982e-08,50.1450195312,44.8753051758,-38.0513877869,-38.2190704346,140.05494655,15.544879237517433,Worst,-2.3304539340116617,-1.5055105951149728,-1.5539788667118803,-1.563598283466789,1.1599450118963817,-1.1606200857272089,-1.1701498606751175,-1.1504918877753751,0.8863770542522151,3.405117271625061,1.3220290050439583,1.3165328313118745,0.6600354263022982
800,5.0,1e-08,2.5e-09,2.5e-09,2.5e-09,2.5e-09,5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0280120D,1200,11,0.28,0.37,2.0,3.1,4.0,19,45,4.0,0.095,0.0098,267,31,4.0,1.53,1.8,150,5.33657652503e-09,3.40837483004e-09,4.7162917394e-09,4.71164120673e-09,6.0525623493e-05,2.55256789553e-08,1.97380021763e-08,1.98198778472e-08,51.8442993164,34.4102172852,-48.7576332092,-48.0193061829,143.980386785,15.381120621429849,Worst,-2.30236855282157,-1.6490932571695627,-2.0002864567725838,-2.000343741068861,1.4212983707999938,-1.6345105620220326,-1.7731557531645845,-1.7535170627248022,1.1100769225803189,2.6599430554598023,0.5234775102935371,0.5871445884051943,1.191498470253008
800,5.0,1e-08,2.5e-09,2.5e-09,2.5e-09,2.5e-09,1e-08,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0280120D,1200,11,0.28,0.37,2.0,3.1,4.0,19,45,4.0,0.095,0.0098,267,31,4.0,1.53,1.8,150,5.31214748249e-09,3.67302377178e-09,4.69735199406e-09,4.70882778597e-09,6.0526854126e-05,2.5513946814e-08,1.96784978379e-08,1.97892507918e-08,52.6105957031,33.1283569336,-49.3660354614,-49.4664955139,145.688711006,14.944446909712996,Worst,-2.361583813579879,-1.5226790352768826,-2.029552555573008,-2.0046641030307084,1.464968766676686,-1.6355234853622695,-1.782591671216984,-1.7584510278047376,1.2109551901252467,2.5686672541743834,0.4780983405902274,0.4794366811260777,1.4227874814707229
800,5.0,1e-08,5e-09,5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0280120D,1200,11,0.28,0.37,2.0,3.1,4.0,19,45,4.0,0.095,0.0098,267,31,4.0,1.53,1.8,150,5.40149285378e-09,3.81665290249e-09,5.04053852753e-09,5.03018107572e-09,6.05162609733e-05,3.09962876069e-08,2.35422012455e-08,2.3545201991e-08,52.2365722656,38.3056640625,-42.6626625061,-42.4697914124,136.50666494,14.903594348295687,Worst,-2.145013334003263,-1.4540720547219987,-1.4992533981553007,-1.511185648229561,1.0890588309021767,-1.162192078395518,-1.169903761172259,-1.1533738561092313,1.1617172750690588,2.9373211844572054,0.9780858041855085,1.00017045139444,0.17963566669548073
800,5.0,1e-08,5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0280120D,1200,11,0.28,0.37,2.0,3.1,4.0,19,45,4.0,0.095,0.0098,267,31,4.0,1.53,1.8,150,5.32865316187e-09,3.82752589784e-09,5.05670130309e-09,5.04982338992e-09,6.05236447247e-05,3.09681663153e-08,2.34410608969e-08,2.35979355568e-08,51.6444091797,37.7385864258,-39.1919212341,-38.5400238037,139.731865422,14.764130959382214,Worst,-2.3215745456407286,-1.4488783772495861,-1.474278332338072,-1.4810224005849657,1.3510795525094539,-1.164619999428079,-1.1859421218505235,-1.1448785708524687,1.0837625995069036,2.8969420077268953,1.2369595289438344,1.2926456902312695,0.6162936624616583
