Target,R2,RMSE
current_fall_time_pulse2,0.904973655288195,3.4370311830644345e-09
voltage_fall_time_pulse1,0.877815514421419,8.137872968001751e-10
current_fall_time_pulse1,0.7417283671052664,5.7055175150856154e-09
voltage_rise_time_pulse1,0.7196221057478143,9.117878176025056e-10
undershoot_pulse_2,0.5569327993248252,6.485151423069005
overshoot_pulse_1,0.5443477280929521,9.128500826496275
undershoot_pulse_1,0.5124881765114622,6.849068460113522
voltage_rise_time_pulse2,0.2896945383202799,3.93192812615434e-09
current_rise_time_pulse2,0.05690608928253138,1.6280996958838587e-08
overshoot_pulse_2,0.03104752834622926,20.393344421590076
