Target,R2,RMSE
voltage_fall_time_pulse1,0.9795750983086724,9.82297226366943e-10
current_fall_time_pulse2,0.9696973911669237,2.0477180838660682e-09
voltage_rise_time_pulse1,0.9657859079047042,7.494035324313733e-10
current_fall_time_pulse1,0.9644959687279275,2.2232757019511574e-09
voltage_fall_time_pulse2,0.9639838441724206,1.3028441202938584e-09
undershoot_pulse_2,0.955648162493249,2.887048471134228
ringing_frequency_MHz,0.9465549284806117,7.634187957898937
overshoot_pulse_1,0.9317545478152134,3.19500365682159
undershoot_pulse_1,0.9312306094246461,3.5929690212484964
overshoot_pulse_2,0.9155973172316046,7.347572509549073
current_rise_time_pulse1,0.9132624956985715,1.4471989892781094e-08
voltage_rise_time_pulse2,0.8989618597367046,1.2800279713398248e-09
current_rise_time_pulse2,0.8968285968992173,8.067454476509771e-09
