Vbus,Rg,Ls4,Ls5,Ls6,Ls7,Ls8,Ls9,Ls10,Ls11,Tp1,Tp2,Toff,Tstart,L1,L2,L3,R1,Part_Number,VDS_max,ID_max_25C,RDS_on_typ,RDS_on_max,VGS_th_min,VGS_th_typ,VGS_th_max,Qg_total,Qrr_typ,Irrm_typ,Eon_typ,Eoff_typ,Ciss,Coss,Crss,Rth_JC_typ,Rth_JC_max,Tj_max,voltage_rise_time_pulse1,voltage_rise_time_pulse2,voltage_fall_time_pulse1,voltage_fall_time_pulse2,current_rise_time_pulse1,current_rise_time_pulse2,current_fall_time_pulse1,current_fall_time_pulse2,overshoot_pulse_1,overshoot_pulse_2,undershoot_pulse_1,undershoot_pulse_2,ringing_frequency_MHz,Severity_Score,Scenario,voltage_rise_time_pulse1__z,voltage_rise_time_pulse2__z,voltage_fall_time_pulse1__z,voltage_fall_time_pulse2__z,current_rise_time_pulse1__z,current_rise_time_pulse2__z,current_fall_time_pulse1__z,current_fall_time_pulse2__z,overshoot_pulse_1__z,overshoot_pulse_2__z,undershoot_pulse_1__z,undershoot_pulse_2__z,ringing_frequency_MHz__z
800,5.0,1e-08,5e-09,2.5e-09,2.5e-09,2.5e-09,5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0160120D,1200,25,0.16,0.208,2.0,2.9,4.0,41,108,5.5,0.375,0.051,740,71,6.0,0.8,0.85,150,7.55905875327e-09,5.37270986805e-09,7.44199742022e-09,7.4230548787e-09,6.05717945445e-05,2.65592720787e-08,2.52619025248e-08,2.53922163607e-08,61.6416015625,58.7319946289,-31.4625263214,-31.0941429138,94.817397508,15.742497274606865,Worst,-2.0854019016307137,-1.6569397179223289,-1.5966222280942428,-1.607950696570161,0.8003129967455228,-1.256712016603051,-1.2642521306253778,-1.2727013953588329,1.367831065700083,2.1131348652037154,1.586264053596579,1.6184093350941584,0.8834091350468576
800,5.0,1e-08,2.5e-09,2.5e-09,2.5e-09,5e-09,2.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0160120D,1200,25,0.16,0.208,2.0,2.9,4.0,41,108,5.5,0.375,0.051,740,71,6.0,0.8,0.85,150,8.01580263801e-09,5.09380560139e-09,6.98291318445e-09,6.98200043732e-09,6.05748152578e-05,2.17004080095e-08,2.12466436958e-08,2.13049996288e-08,61.05078125,70.2225952148,-45.8954849243,-46.590423584,93.427806704,15.537065133769465,Worst,-1.386041632222553,-1.8149742603841441,-2.0601346198265675,-2.051572017737244,0.9948849031119401,-1.6619422879692645,-1.7801907867788995,-1.8049719458715112,1.3022355131039305,2.972551625172225,0.17823811271562456,0.11171566286898071,0.5926184277695394
800,5.0,1e-08,5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0160120D,1200,25,0.16,0.208,2.0,2.9,4.0,41,108,5.5,0.375,0.051,740,71,6.0,0.8,0.85,150,7.60559934787e-09,5.99807275016e-09,7.40950591322e-09,7.38437642156e-09,6.05715405347e-05,2.65527532031e-08,2.53087558862e-08,2.54605796858e-08,58.2161254883,60.2086181641,-31.3660526276,-32.9495124817,93.1726820764,15.2939015235794,Worst,-2.0141395511858913,-1.3025925502350946,-1.629427136098321,-1.6468542573266618,0.7839515727662966,-1.2572556921804634,-1.2582317316059177,-1.2637985680627282,0.987519165045773,2.2235760040134704,1.5956756695528331,1.4380129130694914,0.5392301420309487
800,5.0,1e-08,5e-09,2.5e-09,2.5e-09,2.5e-09,7.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0160120D,1200,25,0.16,0.208,2.0,2.9,4.0,41,108,5.5,0.375,0.051,740,71,6.0,0.8,0.85,150,7.52898666498e-09,5.20803915873e-09,7.47926460926e-09,7.4702363434e-09,6.05672540005e-05,2.65679714009e-08,2.52286476465e-08,2.53830557198e-08,60.434387207,52.8228149414,-32.4144935608,-32.4198265076,94.8664813126,15.285942897430672,Worst,-2.1314478903583622,-1.7502465020597442,-1.5589955735956442,-1.5604946418497438,0.5078448892893883,-1.2559864913268544,-1.268525199424015,-1.27389436840008,1.2338006488785038,1.671169449807179,1.4933936584944478,1.4895139488617526,0.8936805863362663
800,2.5,7.5e-09,5e-09,2.5e-09,1e-08,2.5e-09,2.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0160120D,1200,25,0.16,0.208,2.0,2.9,4.0,41,108,5.5,0.375,0.051,740,71,6.0,0.8,0.85,150,8.24094659585e-09,5.89741087209e-09,6.79371815053e-09,6.69820815039e-09,6.05616222866e-05,2.58764100842e-08,2.38308485854e-08,2.40108045621e-08,59.1544189453,65.8337402344,-40.1396751404,-37.4241523743,96.5944071306,15.281826973851356,Worst,-1.0413041452603928,-1.3596302357271288,-2.2511545587470403,-2.3370159390613363,0.1450917244554386,-1.313662848607386,-1.4481346841097624,-1.4526000566621995,1.0916927631890654,2.6442958913635475,0.739753579466787,1.0029464764740474,1.2552724803618989
