Target,R2,RMSE
voltage_fall_time_pulse2,0.9989089436275748,2.2606347373037006e-10
voltage_fall_time_pulse1,0.9988716367718045,2.301607439094105e-10
current_fall_time_pulse1,0.9978917467100014,5.391787434185868e-10
current_fall_time_pulse2,0.9976733982924432,5.643914184943241e-10
ringing_frequency_MHz,0.993974245694305,2.550472543598599
voltage_rise_time_pulse1,0.9911783333448354,3.784552145422541e-10
undershoot_pulse_2,0.9888182008158046,1.4674319159231302
undershoot_pulse_1,0.988204753857361,1.5041616139925897
overshoot_pulse_1,0.9758382585480254,1.7897646377402416
current_rise_time_pulse1,0.9440832435839954,1.1546862141161657e-08
overshoot_pulse_2,0.942570451040336,5.93040627204037
voltage_rise_time_pulse2,0.9392870222525039,9.467240079714896e-10
current_rise_time_pulse2,0.9288564442904045,6.578343707145476e-09
