Target,R2,RMSE
voltage_fall_time_pulse1,0.9865317269660787,7.951750525424239e-10
current_fall_time_pulse1,0.9838291897776771,1.4932662827638422e-09
voltage_fall_time_pulse2,0.9835530246060173,8.777075274752849e-10
current_fall_time_pulse2,0.9831113923439279,1.5206046134566448e-09
ringing_frequency_MHz,0.9755532976752102,5.1371835702278235
voltage_rise_time_pulse1,0.9701546456079156,6.961094701458341e-10
undershoot_pulse_1,0.9684267416811135,2.4609381490431206
undershoot_pulse_2,0.968386861675318,2.467379329603666
overshoot_pulse_1,0.9593293067789217,2.3220554913935247
overshoot_pulse_2,0.9258165501702786,6.740160785159465
current_rise_time_pulse1,0.9229318114636094,1.3555969116667604e-08
voltage_rise_time_pulse2,0.9186049086170737,1.0961796392594338e-09
current_rise_time_pulse2,0.8971960830665514,7.907762335889986e-09
