Target,R2,RMSE
voltage_fall_time_pulse2,0.9590865522724441,4.710209361178591e-10
voltage_fall_time_pulse1,0.9589079513691329,4.718061332186145e-10
current_fall_time_pulse1,0.8877787802165061,3.761865055446335e-09
current_fall_time_pulse2,0.7937694430157306,5.06477959248743e-09
overshoot_pulse_1,0.7303578830429992,6.5965867984296
overshoot_pulse_2,0.5862126304957491,12.77977792374589
voltage_rise_time_pulse2,0.43931836862297124,3.2986409531213077e-09
undershoot_pulse_1,0.4195404297454729,7.3086196027575205
undershoot_pulse_2,0.41393560051519895,7.290939310868942
current_rise_time_pulse2,0.3615088546292974,1.3263920078700491e-08
voltage_rise_time_pulse1,0.3250156147378299,1.432349348996248e-09
