Target,R2,RMSE
ringing_frequency_MHz,0.9986147284507751,1.2279323048151882
voltage_rise_time_pulse1,0.9958782196044922,2.5980105341103435e-10
current_fall_time_pulse1,0.9717393517494202,1.9792920108520103e-09
current_fall_time_pulse2,0.9717355370521545,1.9732758270356492e-09
voltage_fall_time_pulse1,0.9698728919029236,1.1919306727675872e-09
voltage_fall_time_pulse2,0.9696847200393677,1.1941229468035633e-09
undershoot_pulse_1,0.9550895094871521,2.8964866797656037
undershoot_pulse_2,0.9478273391723633,3.1234158887778647
current_rise_time_pulse1,0.9412878751754761,1.1869982846141135e-08
overshoot_pulse_1,0.9385316967964172,3.0248241152742628
current_rise_time_pulse2,0.9350893497467041,6.389627695801958e-09
voltage_rise_time_pulse2,0.9308732151985168,1.0588280620948262e-09
overshoot_pulse_2,0.9111202359199524,7.5287347289336966
