Target,R2,RMSE
voltage_fall_time_pulse2,0.8798795938491821,8.048664240355158e-10
voltage_fall_time_pulse1,0.8570104837417603,8.774244078062465e-10
current_fall_time_pulse1,0.7611165046691895,5.480372676469376e-09
current_fall_time_pulse2,0.7200449705123901,5.89349029814404e-09
overshoot_pulse_1,0.5919754505157471,8.660238180431117
voltage_rise_time_pulse2,0.5834086537361145,3.0189792666853013e-09
undershoot_pulse_2,0.5436044335365295,6.590131734130461
overshoot_pulse_2,0.5248779058456421,14.28531380228266
undershoot_pulse_1,0.5170775651931763,6.833168244887539
voltage_rise_time_pulse1,0.47303199768066406,1.2460020155823228e-09
current_rise_time_pulse2,0.4195953607559204,1.2860285956968274e-08
ringing_frequency_MHz,-0.08058798313140869,4.015489390417519
current_rise_time_pulse1,-0.3478940725326538,1.8433728003191757e-08
