Target,R2,RMSE
undershoot_pulse_1,0.9357198460792655,3.41648486311556
undershoot_pulse_2,0.9342250401002089,3.4637263945541474
overshoot_pulse_1,0.7943617658996329,3.43580205960741
voltage_fall_time_pulse2,0.7246687045987145,3.423994718400542e-10
current_fall_time_pulse1,0.7101847523642673,3.3996785807081235e-09
voltage_fall_time_pulse1,0.6878867634041458,3.622374852373658e-10
current_fall_time_pulse2,0.6047919859608527,3.9070182701402455e-09
voltage_rise_time_pulse2,0.5722413081108283,1.3757916771191635e-09
current_rise_time_pulse2,0.49313705261484453,8.250328676901632e-09
