Target,R2,RMSE
voltage_fall_time_pulse2,0.9977621728498566,3.2475589882968337e-10
voltage_fall_time_pulse1,0.9974805086153654,3.450002177204275e-10
current_fall_time_pulse1,0.9959716051869493,7.488942601451046e-10
current_fall_time_pulse2,0.9959529139739853,7.483441599696703e-10
ringing_frequency_MHz,0.9900412252187885,3.295429100572261
voltage_rise_time_pulse1,0.9875472728718397,4.521114039249269e-10
undershoot_pulse_2,0.9842976134168576,1.7178336244594803
undershoot_pulse_1,0.9834110869074785,1.7646754782782055
overshoot_pulse_1,0.9724186001190804,2.031153072633902
current_rise_time_pulse1,0.9338250893242945,1.2640710099927788e-08
overshoot_pulse_2,0.9334106568923567,6.526316333579572
current_rise_time_pulse2,0.9171000938366876,7.231591314340345e-09
voltage_rise_time_pulse2,0.8923368790239824,1.321326881924606e-09
