Target,R2,RMSE
current_fall_time_pulse1,0.845577008865191,4.4117680270673205e-09
current_fall_time_pulse2,0.808878353026358,4.8743465179248045e-09
overshoot_pulse_1,0.7729597358583491,6.443682464936081
overshoot_pulse_2,0.7231505431907559,10.900817140834924
undershoot_pulse_2,0.5340582488961791,6.650451552830956
undershoot_pulse_1,0.5171985366264817,6.815900150862041
voltage_rise_time_pulse2,0.47629835514353736,3.37617509949489e-09
current_rise_time_pulse2,0.41528000320861935,1.2819689251787434e-08
voltage_fall_time_pulse1,0.18569692393742288,2.100854191814222e-09
voltage_fall_time_pulse2,0.15363444449567543,2.142974572908689e-09
voltage_rise_time_pulse1,0.11119396470740528,1.6233994628095008e-09
