Vbus,Rg,Ls4,Ls5,Ls6,Ls7,Ls8,Ls9,Ls10,Ls11,Tp1,Tp2,Toff,Tstart,L1,L2,L3,R1,Part_Number,VDS_max,ID_max_25C,RDS_on_typ,RDS_on_max,VGS_th_min,VGS_th_typ,VGS_th_max,Qg_total,Qrr_typ,Irrm_typ,Eon_typ,Eoff_typ,Ciss,Coss,Crss,Rth_JC_typ,Rth_JC_max,Tj_max,voltage_rise_time_pulse1,voltage_rise_time_pulse2,voltage_fall_time_pulse1,voltage_fall_time_pulse2,current_rise_time_pulse1,current_rise_time_pulse2,current_fall_time_pulse1,current_fall_time_pulse2,overshoot_pulse_1,overshoot_pulse_2,undershoot_pulse_1,undershoot_pulse_2,ringing_frequency_MHz,Severity_Score,Scenario,voltage_rise_time_pulse1__z,voltage_rise_time_pulse2__z,voltage_fall_time_pulse1__z,voltage_fall_time_pulse2__z,current_rise_time_pulse1__z,current_rise_time_pulse2__z,current_fall_time_pulse1__z,current_fall_time_pulse2__z,overshoot_pulse_1__z,overshoot_pulse_2__z,undershoot_pulse_1__z,undershoot_pulse_2__z,ringing_frequency_MHz__z
800,5.0,1e-08,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,7.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0040120D,1200,55,0.04,0.052,2.0,3.2,4.0,120,283,15.0,1.3,0.4,2440,171,11.0,0.33,0.45,150,1.36e-08,9.19e-09,1.43e-08,1.43e-08,6.06e-05,7.34e-08,3.2e-08,3.21e-08,87.03338623,67.53393555,-26.37189865,-28.86546707,55.3222917,13.85906549093452,Worst,-0.6176309085755569,-0.9711168050545705,-2.378136993921895,-2.369614026886628,0.07236502791280058,-0.8239881131207645,-1.9104393245780527,-1.9195180265052554,1.731286867409718,0.4803310807973243,0.7516013714679662,0.5052056222136642,0.5274386216840729
1000,5.0,1e-08,7.5e-09,5e-09,2.5e-09,5e-09,1e-08,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0040120D,1200,55,0.04,0.052,2.0,3.2,4.0,120,283,15.0,1.3,0.4,2440,171,11.0,0.33,0.45,150,1.23e-08,1.16e-08,1.82e-08,1.78e-08,6.05e-05,9.7e-08,5.21e-08,5.29e-08,87.98205566,84.63500977,-25.65213776,-29.4156723,52.71569619,13.73999907243926,Worst,-1.375015878894592,-0.4558739098171406,-0.6973718056148303,-0.8624773514398123,-6.225653807525048,0.5740754640796335,-0.11785723392289946,-0.052128527555210885,1.801259496559295,1.3054873676941512,0.8248003226755798,0.448802734364807,-0.14734610045552474
1000,5.0,1e-08,7.5e-09,2.5e-09,2.5e-09,7.5e-09,1e-08,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0040120D,1200,55,0.04,0.052,2.0,3.2,4.0,120,283,15.0,1.3,0.4,2440,171,11.0,0.33,0.45,150,1.23e-08,1.16e-08,1.81e-08,1.77e-08,6.05e-05,9.7e-08,5.2e-08,5.29e-08,87.98876953,81.6361084,-25.62285614,-31.2591095,52.82974986,13.475344928828171,Worst,-1.375015878894592,-0.4558739098171406,-0.7404683489047553,-0.9055383993097218,-6.225653807525048,0.5740754640796335,-0.1267755527818804,-0.052128527555210885,1.8017547029197112,1.1607852111275794,0.8277782336783015,0.25982746481309565,-0.11782035558076687
800,5.0,1e-08,1e-08,5e-09,2.5e-09,5e-09,7.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0040120D,1200,55,0.04,0.052,2.0,3.2,4.0,120,283,15.0,1.3,0.4,2440,171,11.0,0.33,0.45,150,1.16e-08,1.14e-08,1.79e-08,1.78e-08,6.05e-05,9.37e-08,4.87e-08,4.84e-08,77.14367676,77.68945313,-31.67173386,-36.08564758,50.50369312,13.364719493040822,Worst,-1.7828385552202262,-0.4986326563098734,-0.8266614354846042,-0.8624773514398123,-6.225653807525048,0.37858352319991706,-0.42108007512824913,-0.45613106338574894,1.0018346986586137,0.9703522964252778,0.2126135154520847,-0.23495279386325021,-0.7199803550744507
1000,5.0,7.5e-09,7.5e-09,1e-08,5e-09,2.5e-09,5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0040120D,1200,55,0.04,0.052,2.0,3.2,4.0,120,283,15.0,1.3,0.4,2440,171,11.0,0.33,0.45,150,1.21e-08,1.16e-08,1.81e-08,1.81e-08,6.05e-05,9.58e-08,5.21e-08,5.23e-08,81.93127441,83.11560059,-27.99351692,-28.4856472,52.25219297,13.352989397043897,Worst,-1.4915366435590582,-0.4558739098171406,-0.7404683489047553,-0.7332942078300856,-6.225653807525048,0.5029874855779185,-0.11785723392289946,-0.10599553233261592,1.3549617040063437,1.232173257649563,0.586684441036938,0.5441418888325358,-0.2673359072048308
