Vbus,Rg,Ls4,Ls5,Ls6,Ls7,Ls8,Ls9,Ls10,Ls11,Tp1,Tp2,Toff,Tstart,L1,L2,L3,R1,Part_Number,VDS_max,ID_max_25C,RDS_on_typ,RDS_on_max,VGS_th_min,VGS_th_typ,VGS_th_max,Qg_total,Qrr_typ,Irrm_typ,Eon_typ,Eoff_typ,Ciss,Coss,Crss,Rth_JC_typ,Rth_JC_max,Tj_max,voltage_rise_time_pulse1,voltage_rise_time_pulse2,voltage_fall_time_pulse1,voltage_fall_time_pulse2,current_rise_time_pulse1,current_rise_time_pulse2,current_fall_time_pulse1,current_fall_time_pulse2,overshoot_pulse_1,overshoot_pulse_2,undershoot_pulse_1,undershoot_pulse_2,ringing_frequency_MHz,Severity_Score,Scenario,voltage_rise_time_pulse1__z,voltage_rise_time_pulse2__z,voltage_fall_time_pulse1__z,voltage_fall_time_pulse2__z,current_rise_time_pulse1__z,current_rise_time_pulse2__z,current_fall_time_pulse1__z,current_fall_time_pulse2__z,overshoot_pulse_1__z,overshoot_pulse_2__z,undershoot_pulse_1__z,undershoot_pulse_2__z,ringing_frequency_MHz__z
1200,2.5,2.5e-09,2.5e-09,5e-09,7.5e-09,5e-09,1e-08,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0025120D,1200,63,0.025,0.034,2.0,2.6,4.0,194,386,15.0,1.14,0.8,3140,224,9.0,0.24,0.33,150,1.76105776243e-08,7.02424289419e-08,1.5881902941e-08,1.5829708524e-08,6.05972395136e-05,1.50969611173e-07,3.45542876224e-08,3.44741372587e-08,103.752319336,146.100463867,-100.805702209,-95.8335494995,60.3966279919,-27.63935499754949,Best,0.4050985403512785,16.09621520147789,-2.6500960013162778,-2.6583449852350687,-0.15732651254283742,4.254721603748315,-1.5253288362534838,-1.5316192496315952,3.0054112234106367,5.267125636194815,-9.492478604200443,-8.821415873222396,5.364677619133884
1200,2.5,2.5e-09,2.5e-09,5e-09,7.5e-09,7.5e-09,5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0025120D,1200,63,0.025,0.034,2.0,2.6,4.0,194,386,15.0,1.14,0.8,3140,224,9.0,0.24,0.33,150,1.79163333017e-08,6.86848772783e-08,1.53172345511e-08,1.5560324079e-08,6.05843416176e-05,1.50490017487e-07,3.51512715428e-08,3.46496246071e-08,115.760742188,140.152099609,-81.0983657837,-105.01108551,63.2164233319,-25.617410912767944,Best,0.5649514501639968,15.639806700488974,-2.8443538713651453,-2.7509554590724834,-0.748256638211664,4.219380696618813,-1.4711120389746823,-1.5156569622436022,3.8029213834248883,4.941855979742957,-6.786998753954851,-10.086477766420074,6.3949078781566575
1200,2.5,2.5e-09,2.5e-09,1e-08,7.5e-09,2.5e-09,7.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0025120D,1200,63,0.025,0.034,2.0,2.6,4.0,194,386,15.0,1.14,0.8,3140,224,9.0,0.24,0.33,150,1.80210274477e-08,5.4382491968e-08,1.55115942777e-08,1.55130512007e-08,6.05818710474e-05,1.52370438559e-07,3.51015286285e-08,3.488794611e-08,115.730957031,139.849243164,-104.168899536,-104.905662537,61.4131873693,-24.086646296966606,Best,0.6196868651226649,11.448786657563245,-2.777490014298022,-2.7672071905301823,-0.8614483059657119,4.357947546871114,-1.475629583599423,-1.4939792951370425,3.8009432747575076,4.925295122413668,-9.954188010496317,-10.07194591542463,5.736084088190191
1200,2.5,5e-09,2.5e-09,7.5e-09,7.5e-09,2.5e-09,7.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0025120D,1200,63,0.025,0.034,2.0,2.6,4.0,194,386,15.0,1.14,0.8,3140,224,9.0,0.24,0.33,150,1.76090099186e-08,7.16562047354e-08,1.55329518143e-08,1.53874695244e-08,6.05810633185e-05,1.52459109522e-07,3.51039399112e-08,3.49079521002e-08,130.108032227,159.334350586,-94.3869094849,-95.945640564,60.1997013055,-23.827044337185036,Best,0.4042789241138758,16.510493138913592,-2.770142569950834,-2.8103803535071306,-0.898455220921732,4.364481645129584,-1.4754105960842485,-1.4921595550363147,4.755761711900504,5.990783704179249,-8.61128826963745,-8.836866875986612,5.292729194983936
1200,2.5,5e-09,2.5e-09,5e-09,7.5e-09,5e-09,7.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0025120D,1200,63,0.025,0.034,2.0,2.6,4.0,194,386,15.0,1.14,0.8,3140,224,9.0,0.24,0.33,150,1.751735117e-08,6.94855687572e-08,1.54318547495e-08,1.55353673868e-08,6.05873128014e-05,1.5117700484e-07,3.5282874024e-08,3.48748687756e-08,135.501831055,158.985717773,-89.5378189087,-97.5703659058,61.6872383019,-23.12680907750791,Best,0.3563585786992114,15.874432880910298,-2.80492209865744,-2.759535208694094,-0.6121288530041286,4.27000429102851,-1.4591601843253525,-1.4951688063574513,5.113977725728375,5.971719694244107,-7.945591162590414,-9.060824386419934,5.836210348870491
