Target,R2,RMSE
voltage_fall_time_pulse2,0.9977083504088672,2.578706740355412e-10
voltage_fall_time_pulse1,0.9977079145274789,2.5820183070238954e-10
current_fall_time_pulse1,0.9971972167204907,6.543142638433352e-10
current_fall_time_pulse2,0.9971694946724788,6.563879485224057e-10
undershoot_pulse_2,0.9847335289111796,1.6947303537952008
undershoot_pulse_1,0.9837440616051566,1.7455801175685555
voltage_rise_time_pulse1,0.9826059050356613,4.2508901842149595e-10
ringing_frequency_MHz,0.9798329517790929,4.252867971061581e-06
overshoot_pulse_1,0.9727605072538119,2.1074097840354438
current_rise_time_pulse1,0.9425620336018726,1.152707526742033e-08
overshoot_pulse_2,0.942214498332706,6.598523456749982
voltage_rise_time_pulse2,0.8789412787505231,1.3427689272930211e-09
current_rise_time_pulse2,0.862825903418683,8.73462933126345e-09
