Vbus,Rg,Ls4,Ls5,Ls6,Ls7,Ls8,Ls9,Ls10,Ls11,Tp1,Tp2,Toff,Tstart,L1,L2,L3,R1,Part_Number,VDS_max,ID_max_25C,RDS_on_typ,RDS_on_max,VGS_th_min,VGS_th_typ,VGS_th_max,Qg_total,Qrr_typ,Irrm_typ,Eon_typ,Eoff_typ,Ciss,Coss,Crss,Rth_JC_typ,Rth_JC_max,Tj_max,voltage_rise_time_pulse1,voltage_rise_time_pulse2,voltage_fall_time_pulse1,voltage_fall_time_pulse2,current_rise_time_pulse1,current_rise_time_pulse2,current_fall_time_pulse1,current_fall_time_pulse2,overshoot_pulse_1,overshoot_pulse_2,undershoot_pulse_1,undershoot_pulse_2,ringing_frequency_MHz,Severity_Score,Scenario,voltage_rise_time_pulse1__z,voltage_rise_time_pulse2__z,voltage_fall_time_pulse1__z,voltage_fall_time_pulse2__z,current_rise_time_pulse1__z,current_rise_time_pulse2__z,current_fall_time_pulse1__z,current_fall_time_pulse2__z,overshoot_pulse_1__z,overshoot_pulse_2__z,undershoot_pulse_1__z,undershoot_pulse_2__z,ringing_frequency_MHz__z
800,5.0,1e-08,2.5e-09,2.5e-09,2.5e-09,2.5e-09,5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0080120D,1200,36,0.08,0.098,2.0,2.9,4.0,71,152,10.0,0.523,0.072,1130,92,7.5,0.6,0.65,150,9.38708647908e-09,5.81878824738e-09,9.92559291242e-09,9.91124433706e-09,6.05978235011e-05,5.94507916129e-08,2.6564636344e-08,2.66524563995e-08,69.8872680664,70.1373291016,-30.518699646,-30.494972229,75.8829611961,13.98350579124294,Worst,-1.1855661752198652,-1.6431769754601195,-2.2366290671324314,-2.2373509196605794,0.8097477499745217,0.5972450090192678,-1.822367932173081,-1.8371936672394618,1.6949813358750359,1.8931955664784232,0.8774022958344264,0.8819025580422628,0.9192679428789591
800,5.0,1e-08,2.5e-09,7.5e-09,2.5e-09,7.5e-09,1e-08,5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0080120D,1200,36,0.08,0.098,2.0,2.9,4.0,71,152,10.0,0.523,0.072,1130,92,7.5,0.6,0.65,150,1.0399150685e-08,5.80985816188e-09,9.85943544358e-09,9.84823135731e-09,6.05733702285e-05,6.16147761286e-08,2.61467975042e-08,2.62643780575e-08,76.8383789062,64.2057495117,-41.8031768799,-41.6415786743,69.7394917515,13.864255254227718,Worst,-0.1401880019585953,-1.6482342938520056,-2.2821970154041447,-2.280641445488699,-0.9737446262226058,0.7241798364692282,-1.8674196335815538,-1.8796804901138067,2.351365424150335,1.496679339670163,-0.48747825040687737,-0.46245878117280115,-0.6182218518347161
800,5.0,1e-08,5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0080120D,1200,36,0.08,0.098,2.0,2.9,4.0,71,152,10.0,0.523,0.072,1130,92,7.5,0.6,0.65,150,8.84912544039e-09,6.5238756901e-09,1.08381160991e-08,1.0796073627e-08,6.05897374485e-05,5.36590176495e-08,3.13184396439e-08,3.13840982642e-08,64.0463256836,67.1262817383,-26.2871513367,-25.9090118408,74.8259414285,13.378974060973025,Worst,-1.7412351976217295,-1.2438692989596216,-1.6081012516572362,-1.629464649536614,0.2199938384417179,0.2575116036554414,-1.3098092458522554,-1.3191734428324422,1.1434289683525762,1.6919120599282214,1.389216697878089,1.435002542268166,0.6547338518167664
800,5.0,1e-08,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,7.5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0080120D,1200,36,0.08,0.098,2.0,2.9,4.0,71,152,10.0,0.523,0.072,1130,92,7.5,0.6,0.65,150,9.40022081329e-09,5.77110004137e-09,9.62635094602e-09,9.68172254958e-09,6.0601325043e-05,5.86638082341e-08,2.59965711642e-08,2.62179084902e-08,72.6718139648,59.8265991211,-32.1244163513,-31.9354743958,76.2403151446,13.376647308150156,Worst,-1.171999500078961,-1.6701839331572685,-2.4427409798874202,-2.395034604965418,1.065131697380404,0.5510822020910257,-1.8836171517840434,-1.8847679790593312,1.9579222762376831,1.203940421951973,0.6831875840306073,0.7081675803515409,1.00870080388266
800,5.0,1e-08,2.5e-09,1e-08,2.5e-09,5e-09,1e-08,5e-09,2.5e-09,7.58e-05,2e-06,5e-06,0.0,0.0011774,0.00012067,0.00075,5.7543,C2M0080120D,1200,36,0.08,0.098,2.0,2.9,4.0,71,152,10.0,0.523,0.072,1130,92,7.5,0.6,0.65,150,1.03991668448e-08,5.8127560066e-09,9.8393267361e-09,1.00176841389e-08,6.05703792837e-05,6.1658005096e-08,2.61776493185e-08,2.62790898893e-08,76.8379516602,63.9020385742,-40.6467781067,-48.0337333679,69.7316107197,13.321261217773817,Worst,-0.14017131022885562,-1.646593175925499,-2.296047493034656,-2.1642257475297613,-1.1918883215753402,0.7267155577176696,-1.864093167505737,-1.8780698385411823,2.3513250798826855,1.476376768803044,-0.34760945927701964,-1.2333988593507086,-0.6201941910924559
